"report-def-0-rfile"
"Iteration" "exit_pressure"
("Iteration" "exit_pressure")
2001 15170.53941918147
2002 15907.20072512694
2003 16101.69960221973
2004 16110.85510858915
2005 16117.56220966829
2006 16337.75086689023
2007 16322.94133896867
2008 16289.20554426669
2009 16506.78285351576
2010 16447.76990117173
2011 16376.5674344761
2012 16297.45858650458
2013 16227.16707248918
2014 16201.00516202074
2015 16204.14730584
2016 16534.02593633797
2017 16529.47589720485
2018 16524.43046053054
2019 16520.60445101253
2020 16516.89997708323
2021 16512.26522331548
2022 16505.3296974024
2023 16499.17372417409
2024 16493.92032783155
2025 16488.91920644444
2026 16485.24368481739
2027 16482.1880193389
2028 16885.42761743187
2029 16886.77171451362
2030 16885.35479395402
2031 16883.24634723984
2032 16880.57401351132
2033 16878.47258314725
2034 16877.54805750758
2035 16878.05572739521
2036 16878.39748462241
2037 16874.72515709246
2038 16872.56087749836
2039 16872.80580681825
2040 16874.99412274962
2041 16879.32914949168
2042 16885.63621589031
2043 16893.71201236971
2044 16903.49191116745
2045 16914.11141588927
2046 16925.79509369392
2047 16939.45631682625
2048 16954.36851248003
2049 16969.48387696859
2050 16984.23920617609
2051 16998.36698264645
2052 17011.93628347372
2053 17025.3072901115
2054 17544.72120653941
2055 17557.92181962567
2056 17566.93122659058
2057 17569.3998521818
2058 17568.79521772599
2059 17567.09742782138
2060 17566.86587491331
2061 17568.18788176586
2062 17571.2540827169
2063 17574.88550998889
2064 17578.00019986041
2065 17580.32497169041
2066 17585.51499251801
2067 17594.49127819787
2068 17605.06012710269
2069 17616.07420221951
2070 17628.9708125115
2071 17643.43247769928
2072 17659.0710873754
2073 17675.50167980798
2074 17692.33274159498
2075 17709.91527551818
2076 17728.24710401426
2077 17747.40563475832
2078 17767.44309306607
2079 17788.40058714244
2080 17809.60681010782
2081 17831.96117660484
2082 17854.96550515079
2083 17877.65201031044
2084 17899.87616735559
2085 17921.95147727355
2086 17943.7204995021
2087 17964.60004691097
2088 18579.90454495209
2089 18595.63676630642
2090 18595.26533770686
2091 18584.59241365181
2092 18570.76282579107
2093 18558.02599862354
2094 18549.50342989853
2095 18544.60832214533
2096 18541.76936404146
2097 18540.14636381287
2098 18541.15510765645
2099 18544.95456379658
2100 18551.48389765709
2101 18560.10106691921
2102 18570.79719993294
2103 18581.29133443988
2104 18591.88828389663
2105 18602.84622070449
2106 18614.65517137172
2107 18627.28646000478
2108 18641.06196315446
2109 18656.19772361999
2110 18672.61222827
2111 18690.04861001315
2112 18708.34004585919
2113 18727.15465172052
2114 18746.40630106287
2115 18766.25812715038
2116 18787.0440870173
2117 18808.36476333432
2118 18829.98917902588
2119 18851.93704904408
2120 18874.34437186842
2121 18897.24915399709
2122 18919.82157309644
2123 18941.40031104143
2124 18962.7415799523
2125 18984.49007304462
2126 19006.83426422946
2127 19029.65111268609
2128 19052.6083489315
2129 19075.22823163127
2130 19097.12125129399
2131 19118.10636980243
2132 19138.65976719507
2133 19159.21031965927
2134 19179.94030443721
2135 19200.83577644034
2136 19221.56207058603
2137 19242.16970372481
2138 19262.7485530825
2139 19283.25975989782
2140 19303.64583579613
2141 19324.21832369283
2142 19345.21117244546
2143 19366.32856751604
2144 20478.14387602069
2145 20503.72192804374
2146 20524.2330015916
2147 20536.66713236073
2148 20553.58576695278
2149 20577.18596450359
2150 20603.41709338342
2151 20632.89007082743
2152 20666.64548817746
2153 20702.89908076946
2154 20740.25858020784
2155 20774.0655016521
2156 20803.81890352703
2157 20833.16512310415
2158 20862.87352481411
2159 20893.54065713318
2160 20924.71595307535
2161 20956.99468356526
2162 20990.64904152305
2163 21026.28339924016
2164 21063.93890482287
2165 21103.22791091396
2166 21135.20809201073
2167 25035.18583279541
2168 25170.89426749362
2169 25276.87264599398
2170 25068.0530439679
2171 24737.0588686562
2172 24385.5172492296
2173 23950.74994034616
2174 23486.79759952505
2175 23146.94975510982
2176 23228.69750059272
2177 23469.20218808638
2178 23771.61552531946
2179 24092.65521301643
2180 24404.17916051426
2181 24385.75085204011
